Time	R.Front.Head_X	R.Front.Head_Y	R.Front.Head_Z	L.Front.Head_X	L.Front.Head_Y	L.Front.Head_Z	R.Back.Head_X	R.Back.Head_Y	R.Back.Head_Z	L.Back.Head_X	L.Back.Head_Y	L.Back.Head_Z	R.Shoulder_X	R.Shoulder_Y	R.Shoulder_Z	L.Shoulder_X	L.Shoulder_Y	L.Shoulder_Z	C7_X	C7_Y	C7_Z	T2_X	T2_Y	T2_Z	T7_X	T7_Y	T7_Z	L1_X	L1_Y	L1_Z	L3_X	L3_Y	L3_Z	L5_X	L5_Y	L5_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	R.ASIS_X	R.ASIS_Y	R.ASIS_Z	L.ASIS_X	L.ASIS_Y	L.ASIS_Z	R.PSIS_X	R.PSIS_Y	R.PSIS_Z	L.PSIS_X	L.PSIS_Y	L.PSIS_Z	L.Iliac.Crest_X	L.Iliac.Crest_Y	L.Iliac.Crest_Z	R.Iliac.Crest_X	R.Iliac.Crest_Y	R.Iliac.Crest_Z	R.GTR_X	R.GTR_Y	R.GTR_Z	L.GTR_X	L.GTR_Y	L.GTR_Z	R.Knee_X	R.Knee_Y	R.Knee_Z	R.Knee.Medial_X	R.Knee.Medial_Y	R.Knee.Medial_Z	L.Knee_X	L.Knee_Y	L.Knee_Z	L.Knee.Medial_X	L.Knee.Medial_Y	L.Knee.Medial_Z	R.HF_X	R.HF_Y	R.HF_Z	L.HF_X	L.HF_Y	L.HF_Z	R.TT_X	R.TT_Y	R.TT_Z	L.TT_X	L.TT_Y	L.TT_Z	R.Ankle_X	R.Ankle_Y	R.Ankle_Z	R.Ankle.Medial_X	R.Ankle.Medial_Y	R.Ankle.Medial_Z	L.Ankle_X	L.Ankle_Y	L.Ankle_Z	L.Ankle.Medial_X	L.Ankle.Medial_Y	L.Ankle.Medial_Z	R.Heel_X	R.Heel_Y	R.Heel_Z	L.Heel_X	L.Heel_Y	L.Heel_Z	R.MT1_X	R.MT1_Y	R.MT1_Z	R.MT2_X	R.MT2_Y	R.MT2_Z	R.MT5_X	R.MT5_Y	R.MT5_Z	L.MT1_X	L.MT1_Y	L.MT1_Z	L.MT2_X	L.MT2_Y	L.MT2_Z	L.MT5_X	L.MT5_Y	L.MT5_Z
0.000000	-0.250820	1.667310	-1.177440	-0.236330	1.667110	-1.291380	-0.379390	1.656440	-1.169240	-0.354950	1.645690	-1.333500	-0.350320	1.421840	-1.030480	-0.345380	1.416870	-1.426350	-0.407850	1.487100	-1.234270	-0.429900	1.452410	-1.234290	-0.457810	1.307720	-1.232790	-0.427450	1.121260	-1.228670	-0.419670	1.078300	-1.228660	-0.425580	1.039310	-1.229400	-0.279230	1.403060	-1.227240	-0.222410	1.239010	-1.226690	-0.246330	0.956300	-1.089480	-0.234300	0.960880	-1.356550	-0.436390	1.005440	-1.189710	-0.433950	1.009550	-1.281040	-0.315430	1.038260	-1.405230	-0.346370	1.028410	-1.051090	-0.337040	0.874850	-1.041240	-0.307150	0.873300	-1.419330	-0.338250	0.495420	-1.062640	-0.333170	0.479290	-1.185810	-0.333030	0.493510	-1.398190	-0.331620	0.484430	-1.274570	-0.360640	0.433640	-1.053890	-0.349010	0.438300	-1.406390	-0.299750	0.417470	-1.106760	-0.297100	0.419890	-1.362250	-0.378450	0.070190	-1.062580	-0.357570	0.091420	-1.146570	-0.371300	0.076530	-1.404870	-0.348930	0.093010	-1.320410	-0.429480	0.047180	-1.108610	-0.427010	0.043630	-1.362590	-0.221560	0.046430	-1.114930	-0.228720	0.043040	-1.089170	-0.259070	0.033580	-1.040320	-0.225450	0.048510	-1.338860	-0.222660	0.043410	-1.369700	-0.242460	0.036610	-1.417760
0.010000	-0.250847	1.667306	-1.177401	-0.236332	1.667121	-1.291346	-0.379418	1.656424	-1.169231	-0.354939	1.645702	-1.333498	-0.350330	1.421858	-1.030498	-0.345372	1.416863	-1.426366	-0.407875	1.487105	-1.234301	-0.429918	1.452420	-1.234312	-0.457822	1.307721	-1.232810	-0.427466	1.121263	-1.228706	-0.419685	1.078303	-1.228702	-0.425585	1.039306	-1.229448	-0.279293	1.403212	-1.227262	-0.222404	1.239036	-1.226700	-0.246360	0.956307	-1.089490	-0.234308	0.960875	-1.356564	-0.436414	1.005444	-1.189755	-0.433957	1.009554	-1.281090	-0.315397	1.038249	-1.405272	-0.346407	1.028420	-1.051125	-0.337072	0.874852	-1.041265	-0.307142	0.873302	-1.419350	-0.338281	0.495425	-1.062659	-0.333196	0.479293	-1.185828	-0.333030	0.493509	-1.398203	-0.331628	0.484439	-1.274587	-0.360671	0.433645	-1.053901	-0.349006	0.438300	-1.406401	-0.299772	0.417481	-1.106770	-0.297103	0.419891	-1.362257	-0.378449	0.070194	-1.062577	-0.357558	0.091421	-1.146574	-0.371296	0.076533	-1.404877	-0.348930	0.093011	-1.320410	-0.429479	0.047177	-1.108614	-0.427012	0.043627	-1.362590	-0.221561	0.046438	-1.114921	-0.228729	0.043042	-1.089169	-0.259076	0.033580	-1.040315	-0.225444	0.048514	-1.338863	-0.222671	0.043427	-1.369714	-0.242455	0.036610	-1.417758
0.020000	-0.250874	1.667304	-1.177367	-0.236334	1.667133	-1.291314	-0.379446	1.656411	-1.169227	-0.354928	1.645714	-1.333501	-0.350339	1.421875	-1.030514	-0.345366	1.416860	-1.426382	-0.407897	1.487110	-1.234328	-0.429935	1.452429	-1.234334	-0.457833	1.307722	-1.232829	-0.427482	1.121266	-1.228741	-0.419700	1.078306	-1.228741	-0.425596	1.039305	-1.229495	-0.279355	1.403350	-1.227284	-0.222404	1.239058	-1.226709	-0.246393	0.956314	-1.089501	-0.234316	0.960870	-1.356579	-0.436439	1.005446	-1.189799	-0.433968	1.009555	-1.281138	-0.315369	1.038243	-1.405309	-0.346446	1.028428	-1.051159	-0.337106	0.874855	-1.041290	-0.307136	0.873304	-1.419371	-0.338312	0.495428	-1.062676	-0.333223	0.479295	-1.185845	-0.333032	0.493508	-1.398216	-0.331641	0.484447	-1.274602	-0.360701	0.433648	-1.053912	-0.349006	0.438300	-1.406413	-0.299794	0.417489	-1.106780	-0.297108	0.419892	-1.362265	-0.378448	0.070198	-1.062575	-0.357549	0.091421	-1.146576	-0.371294	0.076536	-1.404883	-0.348931	0.093012	-1.320410	-0.429478	0.047174	-1.108618	-0.427013	0.043623	-1.362590	-0.221562	0.046446	-1.114911	-0.228748	0.043042	-1.089170	-0.259081	0.033580	-1.040310	-0.225440	0.048517	-1.338864	-0.222685	0.043444	-1.369730	-0.242451	0.036610	-1.417757
0.030000	-0.250902	1.667304	-1.177341	-0.236338	1.667143	-1.291289	-0.379474	1.656402	-1.169231	-0.354920	1.645726	-1.333510	-0.350346	1.421888	-1.030528	-0.345363	1.416863	-1.426398	-0.407913	1.487116	-1.234348	-0.429947	1.452436	-1.234353	-0.457843	1.307724	-1.232844	-0.427498	1.121271	-1.228774	-0.419718	1.078309	-1.228776	-0.425617	1.039308	-1.229541	-0.279416	1.403466	-1.227308	-0.222415	1.239072	-1.226717	-0.246431	0.956319	-1.089513	-0.234327	0.960868	-1.356593	-0.436468	1.005446	-1.189839	-0.433984	1.009552	-1.281180	-0.315352	1.038246	-1.405337	-0.346490	1.028433	-1.051189	-0.337144	0.874857	-1.041315	-0.307136	0.873306	-1.419394	-0.338341	0.495430	-1.062690	-0.333249	0.479296	-1.185862	-0.333038	0.493506	-1.398228	-0.331660	0.484454	-1.274615	-0.360727	0.433649	-1.053921	-0.349010	0.438299	-1.406426	-0.299815	0.417494	-1.106790	-0.297116	0.419893	-1.362272	-0.378448	0.070201	-1.062573	-0.357544	0.091421	-1.146578	-0.371293	0.076537	-1.404886	-0.348933	0.093013	-1.320410	-0.429480	0.047170	-1.108620	-0.427015	0.043620	-1.362591	-0.221564	0.046456	-1.114901	-0.228779	0.043036	-1.089174	-0.259087	0.033580	-1.040304	-0.225438	0.048519	-1.338864	-0.222701	0.043460	-1.369746	-0.242449	0.036610	-1.417756
0.040000	-0.250930	1.667306	-1.177326	-0.236343	1.667152	-1.291273	-0.379499	1.656399	-1.169245	-0.354915	1.645735	-1.333526	-0.350352	1.421895	-1.030540	-0.345361	1.416873	-1.426415	-0.407922	1.487123	-1.234361	-0.429955	1.452442	-1.234369	-0.457852	1.307726	-1.232857	-0.427516	1.121278	-1.228805	-0.419738	1.078314	-1.228805	-0.425651	1.039318	-1.229583	-0.279475	1.403555	-1.227331	-0.222441	1.239077	-1.226724	-0.246472	0.956323	-1.089526	-0.234342	0.960867	-1.356607	-0.436500	1.005443	-1.189876	-0.434006	1.009546	-1.281216	-0.315350	1.038259	-1.405353	-0.346540	1.028433	-1.051216	-0.337186	0.874858	-1.041341	-0.307143	0.873306	-1.419417	-0.338366	0.495429	-1.062702	-0.333273	0.479295	-1.185878	-0.333048	0.493504	-1.398240	-0.331685	0.484458	-1.274626	-0.360747	0.433648	-1.053929	-0.349020	0.438299	-1.406440	-0.299834	0.417496	-1.106800	-0.297127	0.419894	-1.362280	-0.378449	0.070203	-1.062572	-0.357543	0.091421	-1.146579	-0.371294	0.076537	-1.404888	-0.348936	0.093014	-1.320411	-0.429482	0.047168	-1.108621	-0.427017	0.043618	-1.362593	-0.221566	0.046466	-1.114890	-0.228820	0.043027	-1.089180	-0.259093	0.033581	-1.040300	-0.225439	0.048520	-1.338863	-0.222715	0.043473	-1.369759	-0.242450	0.036610	-1.417756
0.050000	-0.250956	1.667310	-1.177323	-0.236351	1.667158	-1.291269	-0.379522	1.656400	-1.169266	-0.354914	1.645738	-1.333548	-0.350355	1.421897	-1.030549	-0.345359	1.416891	-1.426430	-0.407925	1.487133	-1.234367	-0.429957	1.452449	-1.234381	-0.457860	1.307730	-1.232869	-0.427537	1.121287	-1.228832	-0.419761	1.078319	-1.228827	-0.425694	1.039332	-1.229621	-0.279532	1.403618	-1.227353	-0.222480	1.239070	-1.226730	-0.246513	0.956325	-1.089542	-0.234363	0.960870	-1.356621	-0.436534	1.005441	-1.189908	-0.434035	1.009539	-1.281245	-0.315364	1.038280	-1.405358	-0.346594	1.028429	-1.051239	-0.337229	0.874859	-1.041367	-0.307158	0.873307	-1.419442	-0.338386	0.495428	-1.062712	-0.333293	0.479293	-1.185892	-0.333061	0.493502	-1.398252	-0.331712	0.484460	-1.274637	-0.360760	0.433645	-1.053936	-0.349034	0.438298	-1.406454	-0.299851	0.417496	-1.106811	-0.297142	0.419895	-1.362288	-0.378450	0.070202	-1.062570	-0.357543	0.091421	-1.146578	-0.371297	0.076535	-1.404890	-0.348940	0.093014	-1.320412	-0.429485	0.047165	-1.108620	-0.427019	0.043616	-1.362595	-0.221570	0.046476	-1.114880	-0.228859	0.043018	-1.089187	-0.259097	0.033581	-1.040296	-0.225443	0.048521	-1.338862	-0.222723	0.043477	-1.369763	-0.242453	0.036610	-1.417757
0.060000	-0.250977	1.667316	-1.177334	-0.236362	1.667161	-1.291277	-0.379540	1.656403	-1.169289	-0.354920	1.645733	-1.333573	-0.350359	1.421892	-1.030555	-0.345356	1.416914	-1.426445	-0.407924	1.487145	-1.234369	-0.429957	1.452458	-1.234389	-0.457870	1.307735	-1.232885	-0.427559	1.121296	-1.228854	-0.419787	1.078324	-1.228842	-0.425742	1.039348	-1.229651	-0.279588	1.403657	-1.227372	-0.222531	1.239054	-1.226737	-0.246550	0.956325	-1.089558	-0.234390	0.960875	-1.356636	-0.436569	1.005440	-1.189934	-0.434066	1.009533	-1.281267	-0.315395	1.038305	-1.405354	-0.346651	1.028421	-1.051259	-0.337269	0.874860	-1.041394	-0.307181	0.873308	-1.419466	-0.338399	0.495427	-1.062721	-0.333308	0.479289	-1.185904	-0.333077	0.493500	-1.398265	-0.331738	0.484461	-1.274650	-0.360769	0.433643	-1.053941	-0.349051	0.438298	-1.406469	-0.299865	0.417496	-1.106821	-0.297158	0.419896	-1.362296	-0.378449	0.070200	-1.062569	-0.357544	0.091420	-1.146576	-0.371300	0.076532	-1.404891	-0.348944	0.093012	-1.320413	-0.429488	0.047164	-1.108617	-0.427020	0.043615	-1.362598	-0.221573	0.046483	-1.114872	-0.228887	0.043013	-1.089191	-0.259099	0.033580	-1.040293	-0.225446	0.048520	-1.338861	-0.222719	0.043470	-1.369755	-0.242456	0.036610	-1.417758
0.070000	-0.250992	1.667322	-1.177356	-0.236375	1.667159	-1.291299	-0.379552	1.656405	-1.169312	-0.354933	1.645718	-1.333597	-0.350364	1.421882	-1.030560	-0.345347	1.416940	-1.426459	-0.407922	1.487158	-1.234368	-0.429956	1.452469	-1.234395	-0.457881	1.307741	-1.232906	-0.427584	1.121305	-1.228871	-0.419814	1.078329	-1.228852	-0.425789	1.039363	-1.229673	-0.279641	1.403679	-1.227387	-0.222588	1.239033	-1.226744	-0.246581	0.956323	-1.089576	-0.234423	0.960882	-1.356653	-0.436602	1.005440	-1.189954	-0.434100	1.009530	-1.281284	-0.315435	1.038330	-1.405348	-0.346705	1.028412	-1.051278	-0.337305	0.874860	-1.041421	-0.307211	0.873309	-1.419489	-0.338409	0.495426	-1.062730	-0.333319	0.479284	-1.185915	-0.333096	0.493500	-1.398280	-0.331761	0.484460	-1.274664	-0.360775	0.433641	-1.053944	-0.349068	0.438298	-1.406483	-0.299879	0.417497	-1.106830	-0.297176	0.419897	-1.362307	-0.378446	0.070197	-1.062566	-0.357543	0.091420	-1.146575	-0.371303	0.076529	-1.404894	-0.348948	0.093009	-1.320416	-0.429492	0.047163	-1.108613	-0.427020	0.043614	-1.362602	-0.221576	0.046487	-1.114867	-0.228901	0.043011	-1.089193	-0.259099	0.033579	-1.040291	-0.225450	0.048520	-1.338861	-0.222704	0.043453	-1.369736	-0.242458	0.036610	-1.417759
0.080000	-0.250998	1.667329	-1.177389	-0.236391	1.667150	-1.291332	-0.379557	1.656406	-1.169332	-0.354951	1.645694	-1.333619	-0.350374	1.421869	-1.030564	-0.345332	1.416965	-1.426472	-0.407923	1.487170	-1.234366	-0.429957	1.452481	-1.234400	-0.457894	1.307746	-1.232933	-0.427609	1.121313	-1.228887	-0.419843	1.078334	-1.228860	-0.425828	1.039374	-1.229688	-0.279693	1.403691	-1.227398	-0.222647	1.239010	-1.226752	-0.246604	0.956322	-1.089596	-0.234460	0.960889	-1.356673	-0.436630	1.005443	-1.189968	-0.434133	1.009529	-1.281297	-0.315480	1.038350	-1.405344	-0.346750	1.028404	-1.051296	-0.337334	0.874860	-1.041448	-0.307246	0.873310	-1.419511	-0.338420	0.495426	-1.062739	-0.333332	0.479279	-1.185924	-0.333116	0.493501	-1.398294	-0.331780	0.484459	-1.274680	-0.360782	0.433641	-1.053948	-0.349088	0.438297	-1.406496	-0.299894	0.417500	-1.106838	-0.297195	0.419898	-1.362319	-0.378442	0.070194	-1.062564	-0.357542	0.091420	-1.146573	-0.371306	0.076524	-1.404897	-0.348951	0.093005	-1.320420	-0.429496	0.047163	-1.108609	-0.427020	0.043613	-1.362605	-0.221575	0.046491	-1.114862	-0.228902	0.043014	-1.089192	-0.259098	0.033576	-1.040290	-0.225452	0.048519	-1.338863	-0.222682	0.043432	-1.369714	-0.242460	0.036610	-1.417761
0.090000	-0.250994	1.667334	-1.177429	-0.236407	1.667135	-1.291373	-0.379553	1.656408	-1.169347	-0.354974	1.645664	-1.333637	-0.350391	1.421854	-1.030569	-0.345314	1.416986	-1.426484	-0.407929	1.487180	-1.234366	-0.429962	1.452493	-1.234406	-0.457909	1.307749	-1.232965	-0.427633	1.121318	-1.228903	-0.419871	1.078339	-1.228871	-0.425858	1.039380	-1.229698	-0.279742	1.403698	-1.227406	-0.222701	1.238991	-1.226759	-0.246620	0.956320	-1.089617	-0.234499	0.960895	-1.356697	-0.436652	1.005446	-1.189979	-0.434165	1.009530	-1.281306	-0.315522	1.038363	-1.405349	-0.346780	1.028399	-1.051314	-0.337355	0.874862	-1.041473	-0.307283	0.873312	-1.419532	-0.338433	0.495427	-1.062749	-0.333352	0.479273	-1.185935	-0.333139	0.493503	-1.398309	-0.331797	0.484459	-1.274696	-0.360794	0.433641	-1.053951	-0.349109	0.438296	-1.406509	-0.299912	0.417504	-1.106846	-0.297217	0.419900	-1.362333	-0.378439	0.070191	-1.062562	-0.357542	0.091419	-1.146571	-0.371308	0.076519	-1.404902	-0.348954	0.093002	-1.320424	-0.429500	0.047163	-1.108604	-0.427020	0.043611	-1.362608	-0.221572	0.046497	-1.114859	-0.228897	0.043019	-1.089191	-0.259096	0.033574	-1.040291	-0.225454	0.048519	-1.338865	-0.222665	0.043416	-1.369697	-0.242462	0.036610	-1.417763
